text,true_label,pred_label,category
overcomplicated dull cgi looked outdated acting weak,0,1,other
dull uninspired painfully slow wanted leave theater disappointing overall,0,1,other
dull uninspired painfully slow wanted leave theater,0,1,other
wasted potential great concept ruined poor execution,0,1,other
one greatest films ever made completely blown away would buy,1,0,other
actors looked bored director vision whatsoever,0,1,other
one greatest films ever made completely blown away exactly described,1,0,other
dull uninspired painfully slow wanted leave theater disappointing overall,0,1,other
actors looked bored director vision whatsoever,0,1,other
actors looked bored director vision whatsoever disappointing overall,0,1,other
actors looked bored director vision whatsoever,0,1,other
actors looked bored director vision whatsoever,0,1,other
overcomplicated dull cgi looked outdated acting weak,0,1,other
actors looked bored director vision whatsoever,0,1,other
one greatest films ever made completely blown away,1,0,other
dull uninspired painfully slow wanted leave theater,0,1,other
