text,true_label,pred_label,category
beautiful powerful movie left speechless end,1,0,domain_specific_words
movie touched heart genuinely emotional experience,1,0,domain_specific_words
incredible cinematic experience story deeply moving,1,0,other
wasted potential great concept ruined poor execution,0,1,other
one greatest films ever made completely blown away would buy,1,0,other
movie touched heart genuinely emotional experience,1,0,domain_specific_words
one greatest films ever made completely blown away exactly described,1,0,other
superb direction powerful script movie deserves awards,1,0,domain_specific_words
movie touched heart genuinely emotional experience,1,0,domain_specific_words
incredibly wellmade movie compelling original story,1,0,domain_specific_words
incredible cinematic experience story deeply moving,1,0,other
film masterpiece acting direction superb,1,0,domain_specific_words
moving thoughtprovoking movie stay forever,1,0,domain_specific_words
incredibly wellmade movie compelling original story,1,0,domain_specific_words
one greatest films ever made completely blown away,1,0,other
brilliant performances entire cast mustsee film,1,0,domain_specific_words
one greatest films ever made completely blown away really exceeded expectations,1,0,other
